City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ribeira grande,38.5167,-28.7,15.22,55,40,6.26,PT,1701548399
84,georgetown,5.4112,100.3354,26.12,95,20,1.03,MY,1701548473
85,puerto armuelles,8.2833,-82.8667,31.99,68,62,1.34,PA,1701548266
86,keflavik,64.0049,-22.5624,-0.76,64,0,2.57,IS,1701548524
87,minas de marcona,-15.2119,-75.1103,19.62,58,76,8.63,PE,1701548240
88,ola,59.5833,151.2833,-12.61,90,100,2.77,RU,1701548399
89,nuuk,64.1835,-51.7216,1.34,75,40,1.54,GL,1701548360
90,kalymnos,36.95,26.9833,19.74,82,40,6.69,GR,1701548525
91,broken hill,-31.95,141.4333,16.56,66,90,4.57,AU,1701548256
92,mugia,43.1041,-9.2179,7.87,72,97,4.08,ES,1701548527
93,madang,-5.2246,145.7966,24.45,92,100,1.05,PG,1701548528
94,buala,-8.145,159.5921,27.32,85,94,1.49,SB,1701548529
95,west island,-12.1568,96.8225,25.99,73,100,3.6,CC,1701548530
96,udachny,66.4167,112.4,-34.2,66,97,1.46,RU,1701548530
97,nacozari de garcia,30.3742,-109.6908,15.7,30,0,1.02,MX,1701548531
98,kolokani,13.5728,-8.0339,27.81,18,25,3.98,ML,1701548532
99,zhezqazghan,47.7833,67.7667,4.22,59,100,8.48,KZ,1701548532
100,urangan,-25.3,152.9,24.84,89,99,3.97,AU,1701548533
101,barras,-4.2444,-42.2944,32.66,43,100,3.12,BR,1701548533
102,berezovyy,51.6667,135.7,-16.71,74,3,2.61,RU,1701548534
103,longyearbyen,78.2186,15.6401,-8.09,79,75,1.03,SJ,1701548488
104,vanino,49.0869,140.2543,-12.26,71,8,4.45,RU,1701548535
105,whangarei,-35.7317,174.3239,15.87,98,100,2.03,NZ,1701548536
106,nikopol,47.5712,34.3964,9.56,97,100,5.54,UA,1701548537
107,harstad,68.799,16.5293,-2.69,89,61,1.35,NO,1701548540
108,ust-nera,64.5667,143.2,-32.63,99,100,1.27,RU,1701548541
109,glendora,34.1361,-117.8653,20.24,43,0,2.06,US,1701548101
110,utrik,11.2278,169.8474,27.18,76,65,8.85,MH,1701548542
111,dudinka,69.4058,86.1778,-29.1,88,6,8.12,RU,1701548542
112,okhotsk,59.3833,143.3,-32.93,88,59,4.93,RU,1701548543
113,enewetak,11.3474,162.3373,27.55,76,93,7.9,MH,1701548543
114,antsiranana,-12.2787,49.2917,25.97,83,6,1.04,MG,1701548544
115,sorong,-0.8833,131.25,26.07,85,95,2.39,ID,1701548545
116,gorontalo,0.5412,123.0595,23.98,95,82,1.53,ID,1701548546
117,san agustin de valle fertil,-30.6335,-67.4682,31.91,32,45,5.96,AR,1701548547
118,saint-francois,46.4154,3.9054,-1.29,74,100,1.03,FR,1701548547
119,margaret river,-33.95,115.0667,16.85,81,99,5.01,AU,1701548548
120,qaqortoq,60.7167,-46.0333,-0.81,75,100,3.39,GL,1701548450
121,belyy yar,53.6039,91.3903,-1.06,80,0,0.0,RU,1701548549
122,ust'-ilimsk,58.0006,102.6619,-4.2,94,100,3.13,RU,1701548550
123,olonkinbyen,70.9221,-8.7187,-1.01,86,72,7.97,SJ,1701548551
124,karlskrona,56.1616,15.5866,-1.75,95,100,4.0,SE,1701548551
125,brad,46.1333,22.7833,9.28,88,100,6.13,RO,1701548553
126,figuig (centre),32.1089,-1.2286,12.92,50,63,4.2,MA,1701548554
127,karukh,34.4811,62.5863,8.43,50,64,0.47,AF,1701548554
128,bonao,18.9369,-70.4092,28.26,64,89,2.33,DO,1701548555
129,diego de almagro,-26.3667,-70.05,28.22,16,0,6.0,CL,1701548555
130,al kharijah,25.4514,30.5464,17.82,48,0,3.45,EG,1701548556
131,la'ie,21.6477,-157.9253,28.98,83,2,2.24,US,1701548557
132,kievka,50.2619,71.5514,2.63,65,100,10.95,KZ,1701548557
133,uturoa,-16.7333,-151.4333,27.12,79,100,8.67,PF,1701548558
134,aykhal,66.0,111.5,-35.42,100,99,2.06,RU,1701548558
135,jwaneng,-24.6004,24.7303,24.44,18,11,4.86,BW,1701548559
136,ayr,55.4627,-4.6339,0.99,93,75,3.09,GB,1701548559
137,lichuan,30.3,108.85,5.73,96,86,0.74,CN,1701548560
138,taraz,42.9,71.3667,6.23,61,2,7.0,KZ,1701548560
139,dolores,-36.3132,-57.6792,28.1,59,0,2.81,AR,1701548561
140,vorgashor,67.5833,63.95,-15.17,94,94,2.5,RU,1701548487
141,san antonio,29.4241,-98.4936,23.25,51,0,3.09,US,1701548368
142,ath thawrah,35.8469,38.5443,13.82,55,4,1.27,SY,1701548562
143,kodiak,57.79,-152.4072,4.73,87,100,6.69,US,1701548563
144,khovd,48.0056,91.6419,-7.15,62,74,1.3,MN,1701548563
145,constantia,44.1833,28.65,11.5,82,100,5.05,RO,1701548514
146,amalapuram,16.5833,82.0167,25.85,76,100,5.36,IN,1701548564
147,swakopmund,-22.6833,14.5333,17.77,84,81,2.68,NA,1701548564
148,codrington,-38.2667,141.9667,13.87,80,90,3.0,AU,1701548565
149,scottburgh,-30.2867,30.7532,20.9,90,77,4.35,ZA,1701548565
150,hermanus,-34.4187,19.2345,17.5,70,98,2.83,ZA,1701548566
151,afaahiti,-17.75,-149.2833,29.93,85,66,9.53,PF,1701548566
152,aasiaat,68.7098,-52.8699,-12.52,84,57,1.54,GL,1701548567
153,westport,41.1415,-73.3579,14.59,85,0,3.6,US,1701548567
154,invercargill,-46.4,168.35,11.16,75,74,6.4,NZ,1701548568
155,darwin,-12.4611,130.8418,27.99,79,75,5.14,AU,1701548568
156,nizhnyaya poyma,56.1622,97.1933,-5.39,86,100,5.11,RU,1701548568
157,shenjiamen,29.9576,122.298,10.21,57,85,3.05,CN,1701548569
158,rio gallegos,-51.6226,-69.2181,9.03,49,40,10.29,AR,1701548570
159,newnan,33.3807,-84.7997,19.25,89,100,1.34,US,1701548571
160,formosa,-26.1775,-58.1781,33.9,58,89,2.72,AR,1701548326
161,ceres,37.5949,-120.9577,16.79,60,75,2.57,US,1701548572
162,ludington,43.9553,-86.4526,5.1,72,100,4.12,US,1701548572
163,eyl,7.9803,49.8164,25.7,68,51,8.13,SO,1701548573
